Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo
ar.L1;0,382574503;0,099622767;1978,734909;1986,943505;S0002; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,956069039;0,062654025;1978,734909;1986,943505;S0002; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;1880033,236;106424,9295;1978,734909;1986,943505;S0002; ARIMA(1,1,1)(0,0,0)[0]          
intercept;4,513412208;3,431050188;1640,307822;1648,516418;S0003; ARIMA(0,1,1)(0,0,0)[0] intercept
ma.L1;-0,947597639;0,065202392;1640,307822;1648,516418;S0003; ARIMA(0,1,1)(0,0,0)[0] intercept
sigma2;96686,77679;10128,46342;1640,307822;1648,516418;S0003; ARIMA(0,1,1)(0,0,0)[0] intercept
intercept;1076,612974;228,6166253;1163,277364;1170,065404;S0005; ARIMA(0,0,1)(0,0,0)[0] intercept
ma.L1;0,236293134;0,118839243;1163,277364;1170,065404;S0005; ARIMA(0,0,1)(0,0,0)[0] intercept
sigma2;716481,7286;68683,69065;1163,277364;1170,065404;S0005; ARIMA(0,0,1)(0,0,0)[0] intercept
ar.L1;0,99939795;0,012557053;314,0371224;317,3102498;S0007; ARIMA(1,0,1)(0,0,0)[0]          
ma.L1;-0,882873005;1,141233661;314,0371224;317,3102498;S0007; ARIMA(1,0,1)(0,0,0)[0]          
sigma2;58914,71679;17922,02523;314,0371224;317,3102498;S0007; ARIMA(1,0,1)(0,0,0)[0]          
ma.L1;-0,76767874;0,076998;1729,763187;1735,235584;S0010; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;215253,1255;18145,17527;1729,763187;1735,235584;S0010; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,793578493;0,059838069;1653,595867;1659,068264;S0012; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;111273,9886;9505,728032;1653,595867;1659,068264;S0012; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,715151088;0,069705743;1536,2484;1541,720796;S0014; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;39986,20946;4097,245741;1536,2484;1541,720796;S0014; ARIMA(0,1,1)(0,0,0)[0]          
ma.L1;-0,757517156;0,058079345;1751,080582;1756,552979;S0015; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;258951,6987;18894,10149;1751,080582;1756,552979;S0015; ARIMA(0,1,1)(0,0,0)[0]          
